STOCKNAME,MC,CPER,CPBR,PER,PBR,ROE,P1,P5,P20,P60,F1,F5,F20,F60,I1,I5,I20,I60
인포바인,0.7,6.95,0.83,8.1,0.97,11.98,0.00733,0,-0.07207,-0.1234,0.00004,0.00022,-0.0004,-0.01342,0,0.00048,-0.00241,0.00203
이상네트웍스,0.7,13.42,0.81,14.45,0.87,6.05,-0.00618,-0.00618,-0.00985,-0.09865,-0.00002,-0.00033,-0.00081,-0.00074,0,0,0.00142,0.00674
필링크,0.7,-1.00,0.61,-1,0.97,-19.62,-0.0303,-0.02609,-0.32326,-0.39295,0.00198,0.01503,0.01447,0.03012,0,0,0.0006,0.00055
한국전자인증,0.7,25.95,2.09,36.77,2.97,8.07,-0.02579,-0.04895,-0.22902,-0.2351,0.00029,0.00303,0.00319,0.01597,0,0,-0.00269,0
크루셜텍,0.6,-1.00,0.72,-1,0.81,-52.8,-0.03316,-0.09328,-0.14313,-0.17818,0.0004,-0.00324,-0.01396,-0.01124,0,0,0,-0.00106
유비벨록스,0.5,16.02,0.70,16.65,0.72,4.35,-0.01212,-0.0791,-0.16943,0.04153,-0.00008,0.00003,-0.00788,0.00022,0,0,-0.00012,-0.00114
인포뱅크,0.5,18.58,1.00,23.93,1.29,5.41,-0.01129,-0.06412,-0.19129,-0.27197,-0.00029,0.00084,-0.00819,-0.00467,0,0,-0.00087,-0.00291
유엔젤,0.5,-1.00,1.28,-1,1.4,-5.19,0,0.00271,-0.12322,-0.17686,0.00014,0.00509,0.00419,-0.00762,0,0.00001,-0.00013,0.00011
옴니텔,0.4,216.00,1.14,-1,1.52,-1.84,-0.03139,-0.08475,-0.24739,-0.11837,0.00073,0.00167,-0.00464,-0.01084,0,0,0,0
플랜티넷,0.4,28.39,0.63,33.48,0.74,2.22,0.02181,-0.04192,-0.20593,-0.06487,0.00224,0.00951,0.00482,-0.0081,0,0,0.00027,-0.00334
수산아이앤티,0.4,15.83,0.59,16.43,0.61,3.71,-0.01099,-0.03522,-0.06667,-0.10765,-0.00009,-0.00035,-0.00115,0.00228,0,0,-0.00025,-0.00232
솔루에타,0.4,-1.00,0.63,-1,0.66,-19.52,0.01695,-0.05579,-0.20673,-0.39338,0.00297,0.01022,-0.0178,0.00784,0,-0.00001,-0.04424,-0.05852
이루온,0.3,36.29,1.05,37.59,1.3,3.45,-0.00781,-0.04151,-0.20625,-0.28652,0.00032,0.00688,-0.00241,-0.0057,0,0,0.00008,-0.00131
